,business_id,hours
765,O0k_pEr2UR6iEX2nv2Bbpg,"{'Monday': '7:0-18:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-18:0', 'Saturday': '7:0-18:0', 'Sunday': '7:0-18:0'}"
767,-AjSXsdPtBhWl0kY1-QsoA,"{'Monday': '14:0-18:0', 'Tuesday': '14:0-18:0', 'Wednesday': '14:0-18:0', 'Thursday': '14:0-18:0', 'Friday': '14:0-17:30', 'Saturday': '9:0-10:0'}"
791,xvikNZvp7aIDcC2bxB7JWw,"{'Monday': '0:0-0:0', 'Tuesday': '9:0-16:0', 'Wednesday': '8:0-0:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '10:0-16:0', 'Sunday': '10:0-16:0'}"
799,Y370KeuqfpmmH0RmRT4F3Q,"{'Monday': '0:0-0:0', 'Tuesday': '7:30-18:0', 'Wednesday': '7:30-18:0', 'Thursday': '7:30-18:0', 'Friday': '7:30-17:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}"
804,v2UmYZ1rPT48IroaD0xZAQ,
805,v5nFmEgsJL8Cqk_9obH-QQ,"{'Monday': '7:0-18:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-18:0'}"
813,6jomGWEI4ryImrWPguUQQQ,"{'Monday': '0:0-0:0', 'Tuesday': '5:0-21:0', 'Wednesday': '5:0-21:0', 'Thursday': '5:0-21:0', 'Friday': '5:0-15:0', 'Saturday': '7:0-19:0', 'Sunday': '7:0-19:0'}"
833,QjHGUvMNwb2NOidfcd1zLw,"{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '9:0-17:0'}"
841,gl9APAes1BYYt_8UsDVsPg,"{'Monday': '6:30-14:30', 'Tuesday': '6:30-14:30', 'Wednesday': '6:30-14:30', 'Thursday': '6:30-14:30', 'Friday': '6:30-14:30', 'Saturday': '6:30-14:30', 'Sunday': '6:30-14:30'}"
848,61oyIzeFjG977kMhMxVznw,"{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}"
854,Jpjez35yrcPwCu5NZwYNlw,
857,4FaYG9qKDpDyr68bKmaIEw,"{'Monday': '0:0-0:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:0', 'Saturday': '11:30-21:0'}"
876,B9oez-fvFRD76en7pEvhMA,"{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '12:0-18:0'}"
914,Htnv87XCc9GXuE6hKEHnNg,"{'Monday': '9:30-16:30', 'Tuesday': '9:30-16:30', 'Wednesday': '14:0-16:30', 'Thursday': '9:30-16:30', 'Friday': '9:30-14:0', 'Saturday': '9:0-14:0'}"
931,97yrCvZXdnMhmCtM8qmKFw,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
936,3CTuCLhazl6N8cIonyDkXw,
942,vBEeR5ioxlvzKZN_pgnZYA,
946,-ujBP1Dw0j1-Ffaz97-LXQ,"{'Monday': '0:0-0:0', 'Tuesday': '11:30-17:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-20:0', 'Friday': '11:30-0:0', 'Saturday': '11:30-0:0', 'Sunday': '11:30-22:0'}"
969,GhBM8Aqfeeel8rW4S88iAQ,"{'Monday': '0:0-0:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-19:0', 'Sunday': '12:0-17:0'}"
981,g7GCbnZC_HKO0ybNt7NXBw,
1028,HJhFyeLCGJTe4UCEniG5XQ,"{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-20:0', 'Saturday': '8:30-20:0'}"
1055,sQxg3JJTqcHs9UHWqtjZ-Q,"{'Monday': '8:0-16:30', 'Tuesday': '8:0-16:30', 'Wednesday': '8:0-16:30', 'Thursday': '8:0-16:30', 'Friday': '8:0-16:30'}"
1058,K5ffo0hkwhG33BDNQrJF6A,"{'Monday': '0:0-0:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:0', 'Saturday': '17:0-21:0'}"
1071,fN1xl3d8EdFRpyE1NVI2nw,"{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0'}"
1077,DBZUh30aX1MEKMGbeKCRZg,"{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '10:0-14:0'}"
1086,eWRQJDYtXBSr_2dzs_t4Jw,"{'Monday': '0:0-0:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-15:0'}"
1102,0d-bfgB_ERklF7G9170R2g,
1121,_HcAoG6Jj_XTj4-XNEbo6Q,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-22:0'}"
1130,Mp9SeTCbDFpynBhttlgwKA,"{'Monday': '7:0-18:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-18:0', 'Saturday': '8:0-14:0'}"
1137,cP5gGbkCLEjAXIQZfh4t9g,"{'Monday': '12:0-21:0', 'Tuesday': '12:0-19:0', 'Wednesday': '10:0-21:0', 'Thursday': '12:0-19:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-17:0'}"
1165,lj-E32x9_FA7GmUrBGBEWg,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}"
1169,Yp7xPdDBcPRNsiEQ6QpRvw,"{'Monday': '9:0-15:0', 'Tuesday': '9:0-15:0', 'Wednesday': '9:0-15:0', 'Thursday': '9:0-15:0', 'Friday': '9:0-15:0'}"
1173,4Rz9e2RmP7ErILpcls-n2w,"{'Monday': '8:0-15:0', 'Tuesday': '8:0-15:0', 'Wednesday': '8:0-15:0', 'Thursday': '8:0-15:0', 'Friday': '8:0-15:0', 'Saturday': '8:0-15:0'}"
1181,WJkn1P09sKDpFrP2YHpJhw,"{'Monday': '10:0-16:0', 'Tuesday': '10:0-16:0', 'Wednesday': '10:0-16:0', 'Thursday': '10:0-16:0', 'Friday': '10:0-16:0'}"
1197,H3gKvifbAl4rCXb58H3qFg,"{'Monday': '0:0-0:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-18:0', 'Sunday': '12:0-18:0'}"
1219,159h-vlRcGnzwOTR29lQ8w,"{'Monday': '0:0-0:0', 'Tuesday': '10:0-18:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-21:0', 'Sunday': '10:0-19:0'}"
1252,RMm5FeJpYGZlGJIVsqz0Yw,"{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0'}"
1281,qRC7CkXf2jzEE-hyyEIElg,"{'Monday': '8:0-15:30', 'Tuesday': '8:0-15:30', 'Wednesday': '8:0-15:30', 'Thursday': '8:0-15:30', 'Friday': '8:0-15:30', 'Saturday': '8:0-12:30'}"
1287,Egb5gh3QnLx70PCFmcaMPQ,
1305,-rTJCKclkU_ZnoQb4oKa9w,"{'Monday': '5:30-14:0', 'Tuesday': '5:30-14:0', 'Wednesday': '5:30-14:0', 'Thursday': '5:30-14:0', 'Friday': '5:30-14:0', 'Saturday': '6:0-14:0', 'Sunday': '6:0-14:0'}"
1322,jcmqREAt1nOg3ABv4ZeD3w,
1338,NJt2qvQ9NvB7uCxYUnW-dQ,"{'Monday': '16:0-0:0', 'Tuesday': '16:0-1:0', 'Wednesday': '16:0-1:0', 'Thursday': '16:0-1:0', 'Friday': '16:0-2:0', 'Saturday': '12:0-2:0', 'Sunday': '12:0-0:0'}"
1423,CBGqxzHew6PveH_YdKLYpw,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-19:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0', 'Saturday': '11:0-19:0', 'Sunday': '11:0-19:0'}"
1428,ViDoPXukU75uilpFI13crw,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-23:30', 'Wednesday': '11:0-23:30', 'Thursday': '11:0-23:30', 'Friday': '11:0-23:30', 'Saturday': '11:0-23:30', 'Sunday': '11:0-23:30'}"
1450,mGVZZXjH1SyLIuxpcNNIqw,"{'Monday': '0:0-0:0', 'Tuesday': '9:0-0:0', 'Wednesday': '9:0-0:0', 'Thursday': '9:0-0:0', 'Friday': '9:0-1:0', 'Saturday': '9:0-1:0', 'Sunday': '9:0-0:0'}"
1464,3Pjvw7oOjjfH_YuH2vMD5w,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}"
1468,JbFsyY7pi85oaY4DoAgwCA,"{'Monday': '0:0-0:0', 'Tuesday': '8:0-17:30', 'Wednesday': '8:0-17:30', 'Thursday': '8:0-17:30', 'Friday': '8:0-14:0'}"
1479,P6z5G3y-B-BMzUaI3Hfrog,"{'Monday': '0:0-0:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-18:0', 'Sunday': '10:0-17:0'}"
1493,cEG1r9aRMJwmRQVkh7eiJg,"{'Monday': '0:0-0:0', 'Tuesday': '7:0-13:0', 'Wednesday': '7:30-19:0', 'Thursday': '7:30-19:0', 'Friday': '7:30-19:0', 'Saturday': '7:30-19:0', 'Sunday': '7:30-19:0'}"
1495,idRTl_xdqB12GWXIsisW-g,"{'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '12:0-21:30'}"
1518,opiv3hcNNsRDiLXsUbNw-A,
1544,WMI3BjDby0U-IF6NnN0SXA,"{'Monday': '10:0-21:30', 'Tuesday': '10:0-21:30', 'Wednesday': '10:0-21:30', 'Thursday': '10:0-21:30', 'Friday': '10:0-21:30', 'Saturday': '10:0-21:30'}"
1546,0oogOBGXNj39Wnl2SKoe0w,"{'Monday': '7:0-15:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-15:0', 'Saturday': '7:0-15:0', 'Sunday': '7:0-14:0'}"
1547,u-QBVccU0cRK1pehKL4n0g,
1597,Pb5agnsD9EdCl6yuZp2jJA,"{'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '1:0-22:0'}"
1606,WSVFcew59zWFZryWUVQACA,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
1632,LTTRaIO-p4zjvXtw9zm1Wg,"{'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '16:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-19:0'}"
1654,wh9WMoi0ukhQy-kvjpC4uQ,"{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-18:0'}"
1686,fJNSx1WOo77TmP7Bl26w_g,"{'Monday': '11:30-20:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:0', 'Saturday': '11:30-21:0', 'Sunday': '11:30-20:0'}"
1694,JOvNunKJlWhwJRwLmUR9ZA,"{'Monday': '16:0-3:0', 'Tuesday': '16:0-3:0', 'Wednesday': '16:0-3:0', 'Thursday': '16:0-3:0', 'Friday': '16:0-3:0', 'Saturday': '11:0-3:0', 'Sunday': '11:0-3:0'}"
1696,Hs28Z-U0P9ouwSurPUEXYQ,"{'Monday': '8:0-18:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '8:0-17:0', 'Sunday': '16:0-18:0'}"
1707,3VKE0_-KhU_qMYHxcyVcDg,
1716,BezmFrbIu1g2GpjngB2geA,"{'Monday': '8:0-22:0', 'Tuesday': '10:0-20:0', 'Wednesday': '8:0-22:0', 'Thursday': '8:0-22:0', 'Friday': '8:0-22:0', 'Saturday': '8:0-22:0', 'Sunday': '8:0-22:0'}"
1721,SLHmMe2b4NhMW1CSzRJsYA,"{'Monday': '0:0-0:0', 'Tuesday': '9:0-17:0', 'Wednesday': '10:0-18:30', 'Thursday': '9:0-17:0', 'Friday': '8:0-15:0'}"
1728,Xd9erl9SNNedkVP-23U4-w,
1739,2y_CdkxEOJEJGyJApfCYpA,"{'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '16:0-22:30', 'Saturday': '15:0-22:30', 'Sunday': '15:0-20:0'}"
1742,QytnOwvQLd5LlHr0v7pqyA,"{'Monday': '6:30-22:0', 'Tuesday': '6:30-22:0', 'Wednesday': '6:30-22:0', 'Thursday': '6:30-22:0', 'Friday': '6:30-22:0', 'Saturday': '6:30-22:0', 'Sunday': '8:0-20:0'}"
1786,J8j18KB--ZH4MjTQryPEpA,"{'Monday': '5:0-0:0', 'Tuesday': '5:0-0:0', 'Wednesday': '5:0-0:0', 'Thursday': '5:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '5:0-0:0'}"
1836,Xk_boaNNKxbwwQYN3foFLw,"{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0'}"
1856,aIc2fDKD3MxfyGTEsqpXig,
1891,kIuh5i5w9zII_-yQhqdbgA,"{'Monday': '0:0-0:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}"
1894,HzIw9Tc7gD75nX9VGg0Pwg,"{'Monday': '8:30-16:0', 'Tuesday': '8:30-16:0', 'Wednesday': '8:30-16:0', 'Thursday': '8:30-16:0', 'Friday': '8:30-16:0'}"
1903,-fqjV6QqrKLUxpYCJoSsOQ,"{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-20:0', 'Sunday': '11:0-18:0'}"
1920,cLlBDZxYJ1dt1JgMuZnXew,"{'Monday': '0:0-0:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-20:0'}"
1961,rT1XbnU-U-iT1sPD54s5BA,"{'Monday': '11:0-19:0', 'Tuesday': '11:0-19:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0', 'Saturday': '11:0-18:0', 'Sunday': '12:0-17:0'}"
2011,LFE5P1tRjqoM78DwKlSPvA,
2063,8RlkbKmR0DTBPUECyQYPkA,
2088,xW1ZHL5mztdLeD60Iy0O7w,"{'Monday': '0:0-0:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-16:0', 'Saturday': '7:0-18:0', 'Sunday': '8:0-17:0'}"
2101,Mzs8Pq6C-hp4CTOAxBhLuw,"{'Monday': '7:0-17:0', 'Tuesday': '7:0-17:0', 'Wednesday': '7:0-17:0', 'Thursday': '7:0-17:0', 'Friday': '7:0-17:0'}"
2120,9MHe5jAym2d8VhT_NbCRyw,"{'Monday': '10:30-22:0', 'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-23:0', 'Saturday': '10:30-23:0', 'Sunday': '12:0-22:0'}"
2127,OMaIc59ULw6fuYtUsCH4dg,"{'Monday': '0:0-0:0', 'Tuesday': '13:30-18:0', 'Wednesday': '13:30-18:0', 'Thursday': '13:30-18:0', 'Friday': '13:30-18:0', 'Saturday': '11:0-16:0', 'Sunday': '11:0-16:0'}"
2144,OpXFFEDRXj-JakazHvxY9Q,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-19:0', 'Sunday': '9:0-19:0'}"
2146,qejPFPUKiIXvHJ4BirgLUw,"{'Monday': '10:0-4:0', 'Tuesday': '10:0-4:0', 'Wednesday': '10:0-4:0', 'Thursday': '10:0-5:0', 'Friday': '10:0-6:0', 'Saturday': '10:0-6:0', 'Sunday': '10:0-4:0'}"
2151,4zf0Ckvp1UEZEGRVpEckPg,"{'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-18:0'}"
2168,yH0ON2BtV52JXxWdZy7Psg,"{'Monday': '0:0-0:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-15:0', 'Saturday': '7:0-15:0', 'Sunday': '7:0-15:0'}"
2176,i5_36USdvJ8InY-z6KCH7w,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
2180,Vf_1mx9dStLRofe8O10o4Q,"{'Monday': '9:0-22:0', 'Tuesday': '9:0-22:0', 'Wednesday': '9:0-22:0', 'Thursday': '9:0-22:0', 'Friday': '9:0-22:0', 'Saturday': '9:0-20:0', 'Sunday': '10:0-19:0'}"
2198,V85fGg0cb0B4gWEWWgKaGQ,"{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '10:0-17:0', 'Sunday': '12:0-17:0'}"
2206,D_sIoGDRaLJv0DAIc46MMA,"{'Monday': '0:0-0:0', 'Tuesday': '7:30-14:0', 'Wednesday': '7:30-14:0', 'Thursday': '7:30-14:0', 'Friday': '7:30-14:0', 'Saturday': '7:30-15:0', 'Sunday': '7:30-15:0'}"
2225,zBHAoHU-SD7wECkKpTGImg,"{'Monday': '0:0-0:0', 'Tuesday': '7:0-14:30', 'Wednesday': '7:0-14:30', 'Thursday': '7:0-14:30', 'Friday': '7:0-14:30', 'Saturday': '7:0-14:30', 'Sunday': '7:0-14:30'}"
2234,WT4XIJbg_KrZ2zjt-rQg5g,"{'Monday': '0:0-0:0', 'Tuesday': '12:0-22:30', 'Wednesday': '12:0-22:30', 'Thursday': '12:0-22:30', 'Friday': '16:0-0:0', 'Saturday': '12:0-0:0', 'Sunday': '12:0-0:0'}"
