,business_id,attributes
325,TEP-73fGvgSUmtQFaOTA_g,HasTV
325,TEP-73fGvgSUmtQFaOTA_g,Ambience
325,TEP-73fGvgSUmtQFaOTA_g,GoodForKids
325,TEP-73fGvgSUmtQFaOTA_g,Alcohol
325,TEP-73fGvgSUmtQFaOTA_g,RestaurantsReservations
325,TEP-73fGvgSUmtQFaOTA_g,BusinessAcceptsCreditCards
325,TEP-73fGvgSUmtQFaOTA_g,RestaurantsPriceRange2
325,TEP-73fGvgSUmtQFaOTA_g,BusinessParking
325,TEP-73fGvgSUmtQFaOTA_g,Caters
325,TEP-73fGvgSUmtQFaOTA_g,HappyHour
325,TEP-73fGvgSUmtQFaOTA_g,NoiseLevel
337,SGigkw0zqh4TTXferq3XGA,BusinessAcceptsCreditCards
337,SGigkw0zqh4TTXferq3XGA,BusinessParking
337,SGigkw0zqh4TTXferq3XGA,RestaurantsPriceRange2
361,aNXw3PkXVt8ANwLyCfcmpg,WiFi
361,aNXw3PkXVt8ANwLyCfcmpg,GoodForKids
361,aNXw3PkXVt8ANwLyCfcmpg,BusinessParking
361,aNXw3PkXVt8ANwLyCfcmpg,RestaurantsPriceRange2
361,aNXw3PkXVt8ANwLyCfcmpg,RestaurantsTakeOut
361,aNXw3PkXVt8ANwLyCfcmpg,RestaurantsDelivery
361,aNXw3PkXVt8ANwLyCfcmpg,DriveThru
379,nIn0fMn-SEjLdJ44SG4CKw,BusinessAcceptsBitcoin
379,nIn0fMn-SEjLdJ44SG4CKw,BusinessAcceptsCreditCards
379,nIn0fMn-SEjLdJ44SG4CKw,ByAppointmentOnly
418,L2TIgbnlsqRtqDU3FuW7lw,BusinessAcceptsCreditCards
425,Vk3Up8OlB8h2ygVlvm8tBQ,ByAppointmentOnly
425,Vk3Up8OlB8h2ygVlvm8tBQ,BusinessAcceptsCreditCards
463,Xj0SIY3dprQ4ZZ0lz8YmGw,BusinessAcceptsCreditCards
464,-DXNvQLhKwunHzg8OjkwXA,ByAppointmentOnly
464,-DXNvQLhKwunHzg8OjkwXA,BusinessAcceptsCreditCards
464,-DXNvQLhKwunHzg8OjkwXA,WiFi
513,NNcqCDV6PHhDmKY8fO6S9g,WiFi
513,NNcqCDV6PHhDmKY8fO6S9g,ByAppointmentOnly
513,NNcqCDV6PHhDmKY8fO6S9g,BusinessAcceptsCreditCards
524,46_2e1hnQ4csLrYnhn6bkw,RestaurantsAttire
524,46_2e1hnQ4csLrYnhn6bkw,NoiseLevel
524,46_2e1hnQ4csLrYnhn6bkw,RestaurantsTakeOut
524,46_2e1hnQ4csLrYnhn6bkw,GoodForDancing
524,46_2e1hnQ4csLrYnhn6bkw,RestaurantsGoodForGroups
524,46_2e1hnQ4csLrYnhn6bkw,HasTV
524,46_2e1hnQ4csLrYnhn6bkw,Music
524,46_2e1hnQ4csLrYnhn6bkw,RestaurantsTableService
524,46_2e1hnQ4csLrYnhn6bkw,WheelchairAccessible
524,46_2e1hnQ4csLrYnhn6bkw,Alcohol
524,46_2e1hnQ4csLrYnhn6bkw,Smoking
524,46_2e1hnQ4csLrYnhn6bkw,BestNights
524,46_2e1hnQ4csLrYnhn6bkw,Ambience
524,46_2e1hnQ4csLrYnhn6bkw,RestaurantsPriceRange2
524,46_2e1hnQ4csLrYnhn6bkw,OutdoorSeating
524,46_2e1hnQ4csLrYnhn6bkw,BusinessAcceptsCreditCards
524,46_2e1hnQ4csLrYnhn6bkw,HappyHour
524,46_2e1hnQ4csLrYnhn6bkw,BikeParking
524,46_2e1hnQ4csLrYnhn6bkw,CoatCheck
524,46_2e1hnQ4csLrYnhn6bkw,GoodForMeal
524,46_2e1hnQ4csLrYnhn6bkw,WiFi
524,46_2e1hnQ4csLrYnhn6bkw,RestaurantsReservations
524,46_2e1hnQ4csLrYnhn6bkw,GoodForKids
524,46_2e1hnQ4csLrYnhn6bkw,RestaurantsDelivery
524,46_2e1hnQ4csLrYnhn6bkw,BusinessParking
528,kxvOUehCtJAL2nYKkeiR-w,GoodForKids
528,kxvOUehCtJAL2nYKkeiR-w,BusinessAcceptsCreditCards
528,kxvOUehCtJAL2nYKkeiR-w,BusinessParking
528,kxvOUehCtJAL2nYKkeiR-w,BikeParking
528,kxvOUehCtJAL2nYKkeiR-w,DogsAllowed
528,kxvOUehCtJAL2nYKkeiR-w,WiFi
528,kxvOUehCtJAL2nYKkeiR-w,BusinessAcceptsBitcoin
528,kxvOUehCtJAL2nYKkeiR-w,WheelchairAccessible
555,bdfZdB2MTXlT6-RBjSIpQg,RestaurantsDelivery
555,bdfZdB2MTXlT6-RBjSIpQg,BikeParking
555,bdfZdB2MTXlT6-RBjSIpQg,BusinessParking
555,bdfZdB2MTXlT6-RBjSIpQg,RestaurantsPriceRange2
555,bdfZdB2MTXlT6-RBjSIpQg,OutdoorSeating
555,bdfZdB2MTXlT6-RBjSIpQg,Ambience
555,bdfZdB2MTXlT6-RBjSIpQg,BusinessAcceptsCreditCards
555,bdfZdB2MTXlT6-RBjSIpQg,RestaurantsReservations
555,bdfZdB2MTXlT6-RBjSIpQg,WiFi
555,bdfZdB2MTXlT6-RBjSIpQg,Alcohol
555,bdfZdB2MTXlT6-RBjSIpQg,RestaurantsAttire
555,bdfZdB2MTXlT6-RBjSIpQg,GoodForKids
555,bdfZdB2MTXlT6-RBjSIpQg,RestaurantsTakeOut
555,bdfZdB2MTXlT6-RBjSIpQg,HasTV
555,bdfZdB2MTXlT6-RBjSIpQg,Caters
555,bdfZdB2MTXlT6-RBjSIpQg,RestaurantsGoodForGroups
555,bdfZdB2MTXlT6-RBjSIpQg,NoiseLevel
555,bdfZdB2MTXlT6-RBjSIpQg,GoodForMeal
565,TapXvuOEC3qGGmlf03INnA,BusinessAcceptsCreditCards
565,TapXvuOEC3qGGmlf03INnA,WheelchairAccessible
565,TapXvuOEC3qGGmlf03INnA,RestaurantsPriceRange2
565,TapXvuOEC3qGGmlf03INnA,BikeParking
574,PW5eZM5RAQEhy3wgovChhQ,RestaurantsGoodForGroups
574,PW5eZM5RAQEhy3wgovChhQ,RestaurantsTakeOut
574,PW5eZM5RAQEhy3wgovChhQ,BusinessAcceptsCreditCards
574,PW5eZM5RAQEhy3wgovChhQ,OutdoorSeating
574,PW5eZM5RAQEhy3wgovChhQ,RestaurantsAttire
574,PW5eZM5RAQEhy3wgovChhQ,RestaurantsPriceRange2
574,PW5eZM5RAQEhy3wgovChhQ,GoodForKids
574,PW5eZM5RAQEhy3wgovChhQ,BikeParking
574,PW5eZM5RAQEhy3wgovChhQ,Ambience
574,PW5eZM5RAQEhy3wgovChhQ,NoiseLevel
574,PW5eZM5RAQEhy3wgovChhQ,RestaurantsReservations
574,PW5eZM5RAQEhy3wgovChhQ,Alcohol
574,PW5eZM5RAQEhy3wgovChhQ,RestaurantsDelivery
574,PW5eZM5RAQEhy3wgovChhQ,HasTV
574,PW5eZM5RAQEhy3wgovChhQ,BusinessParking
574,PW5eZM5RAQEhy3wgovChhQ,Caters
574,PW5eZM5RAQEhy3wgovChhQ,WiFi
610,IbndcMURguByburM72o3SA,BikeParking
610,IbndcMURguByburM72o3SA,RestaurantsDelivery
610,IbndcMURguByburM72o3SA,Ambience
610,IbndcMURguByburM72o3SA,RestaurantsAttire
610,IbndcMURguByburM72o3SA,BusinessParking
610,IbndcMURguByburM72o3SA,OutdoorSeating
610,IbndcMURguByburM72o3SA,NoiseLevel
610,IbndcMURguByburM72o3SA,RestaurantsReservations
610,IbndcMURguByburM72o3SA,GoodForKids
610,IbndcMURguByburM72o3SA,Alcohol
610,IbndcMURguByburM72o3SA,Caters
610,IbndcMURguByburM72o3SA,RestaurantsTakeOut
610,IbndcMURguByburM72o3SA,WiFi
610,IbndcMURguByburM72o3SA,RestaurantsPriceRange2
610,IbndcMURguByburM72o3SA,BusinessAcceptsCreditCards
610,IbndcMURguByburM72o3SA,HasTV
610,IbndcMURguByburM72o3SA,RestaurantsTableService
610,IbndcMURguByburM72o3SA,GoodForMeal
610,IbndcMURguByburM72o3SA,RestaurantsGoodForGroups
628,TJe1ZGe-X0-GjOQd00kKxA,HasTV
628,TJe1ZGe-X0-GjOQd00kKxA,BusinessParking
628,TJe1ZGe-X0-GjOQd00kKxA,GoodForMeal
628,TJe1ZGe-X0-GjOQd00kKxA,RestaurantsTableService
628,TJe1ZGe-X0-GjOQd00kKxA,DogsAllowed
628,TJe1ZGe-X0-GjOQd00kKxA,Alcohol
628,TJe1ZGe-X0-GjOQd00kKxA,WheelchairAccessible
628,TJe1ZGe-X0-GjOQd00kKxA,Ambience
628,TJe1ZGe-X0-GjOQd00kKxA,OutdoorSeating
628,TJe1ZGe-X0-GjOQd00kKxA,BusinessAcceptsCreditCards
628,TJe1ZGe-X0-GjOQd00kKxA,GoodForKids
628,TJe1ZGe-X0-GjOQd00kKxA,RestaurantsReservations
628,TJe1ZGe-X0-GjOQd00kKxA,HappyHour
628,TJe1ZGe-X0-GjOQd00kKxA,BestNights
628,TJe1ZGe-X0-GjOQd00kKxA,RestaurantsGoodForGroups
628,TJe1ZGe-X0-GjOQd00kKxA,Music
628,TJe1ZGe-X0-GjOQd00kKxA,RestaurantsPriceRange2
628,TJe1ZGe-X0-GjOQd00kKxA,RestaurantsTakeOut
628,TJe1ZGe-X0-GjOQd00kKxA,RestaurantsDelivery
650,O0YHVrUtxbsEhQ4qaWkVaw,GoodForKids
650,O0YHVrUtxbsEhQ4qaWkVaw,RestaurantsTakeOut
650,O0YHVrUtxbsEhQ4qaWkVaw,OutdoorSeating
650,O0YHVrUtxbsEhQ4qaWkVaw,RestaurantsDelivery
650,O0YHVrUtxbsEhQ4qaWkVaw,RestaurantsReservations
650,O0YHVrUtxbsEhQ4qaWkVaw,RestaurantsGoodForGroups
650,O0YHVrUtxbsEhQ4qaWkVaw,WiFi
650,O0YHVrUtxbsEhQ4qaWkVaw,RestaurantsPriceRange2
650,O0YHVrUtxbsEhQ4qaWkVaw,RestaurantsAttire
650,O0YHVrUtxbsEhQ4qaWkVaw,HasTV
682,j2oZyu8a5qa-LL-LZ5DBPw,BusinessAcceptsCreditCards
736,S2LinHvVEXAm2jv84_kXLw,RestaurantsPriceRange2
736,S2LinHvVEXAm2jv84_kXLw,BusinessAcceptsCreditCards
736,S2LinHvVEXAm2jv84_kXLw,GoodForKids
736,S2LinHvVEXAm2jv84_kXLw,BusinessParking
736,S2LinHvVEXAm2jv84_kXLw,ByAppointmentOnly
737,XNWVT7tR7yAzCyf0VQ-ijA,GoodForKids
737,XNWVT7tR7yAzCyf0VQ-ijA,BusinessParking
737,XNWVT7tR7yAzCyf0VQ-ijA,BikeParking
737,XNWVT7tR7yAzCyf0VQ-ijA,BusinessAcceptsCreditCards
737,XNWVT7tR7yAzCyf0VQ-ijA,WheelchairAccessible
737,XNWVT7tR7yAzCyf0VQ-ijA,ByAppointmentOnly
765,O0k_pEr2UR6iEX2nv2Bbpg,GoodForKids
767,-AjSXsdPtBhWl0kY1-QsoA,BusinessAcceptsCreditCards
767,-AjSXsdPtBhWl0kY1-QsoA,WiFi
767,-AjSXsdPtBhWl0kY1-QsoA,AcceptsInsurance
767,-AjSXsdPtBhWl0kY1-QsoA,ByAppointmentOnly
791,xvikNZvp7aIDcC2bxB7JWw,BusinessAcceptsCreditCards
791,xvikNZvp7aIDcC2bxB7JWw,RestaurantsPriceRange2
791,xvikNZvp7aIDcC2bxB7JWw,WheelchairAccessible
791,xvikNZvp7aIDcC2bxB7JWw,DogsAllowed
791,xvikNZvp7aIDcC2bxB7JWw,BikeParking
791,xvikNZvp7aIDcC2bxB7JWw,BusinessParking
799,Y370KeuqfpmmH0RmRT4F3Q,BusinessAcceptsCreditCards
804,v2UmYZ1rPT48IroaD0xZAQ,BikeParking
804,v2UmYZ1rPT48IroaD0xZAQ,RestaurantsPriceRange2
804,v2UmYZ1rPT48IroaD0xZAQ,BusinessAcceptsCreditCards
804,v2UmYZ1rPT48IroaD0xZAQ,BusinessParking
804,v2UmYZ1rPT48IroaD0xZAQ,ByAppointmentOnly
805,v5nFmEgsJL8Cqk_9obH-QQ,
813,6jomGWEI4ryImrWPguUQQQ,BusinessAcceptsCreditCards
813,6jomGWEI4ryImrWPguUQQQ,BikeParking
813,6jomGWEI4ryImrWPguUQQQ,BusinessParking
813,6jomGWEI4ryImrWPguUQQQ,ByAppointmentOnly
813,6jomGWEI4ryImrWPguUQQQ,GoodForKids
813,6jomGWEI4ryImrWPguUQQQ,DogsAllowed
833,QjHGUvMNwb2NOidfcd1zLw,BusinessAcceptsCreditCards
841,gl9APAes1BYYt_8UsDVsPg,RestaurantsReservations
841,gl9APAes1BYYt_8UsDVsPg,Alcohol
841,gl9APAes1BYYt_8UsDVsPg,WiFi
841,gl9APAes1BYYt_8UsDVsPg,RestaurantsPriceRange2
841,gl9APAes1BYYt_8UsDVsPg,OutdoorSeating
841,gl9APAes1BYYt_8UsDVsPg,BusinessAcceptsCreditCards
841,gl9APAes1BYYt_8UsDVsPg,RestaurantsDelivery
841,gl9APAes1BYYt_8UsDVsPg,Caters
841,gl9APAes1BYYt_8UsDVsPg,RestaurantsGoodForGroups
841,gl9APAes1BYYt_8UsDVsPg,GoodForKids
841,gl9APAes1BYYt_8UsDVsPg,RestaurantsTakeOut
841,gl9APAes1BYYt_8UsDVsPg,BikeParking
841,gl9APAes1BYYt_8UsDVsPg,HasTV
841,gl9APAes1BYYt_8UsDVsPg,BusinessParking
841,gl9APAes1BYYt_8UsDVsPg,RestaurantsAttire
841,gl9APAes1BYYt_8UsDVsPg,NoiseLevel
841,gl9APAes1BYYt_8UsDVsPg,GoodForMeal
841,gl9APAes1BYYt_8UsDVsPg,Ambience
848,61oyIzeFjG977kMhMxVznw,
854,Jpjez35yrcPwCu5NZwYNlw,GoodForKids
854,Jpjez35yrcPwCu5NZwYNlw,BikeParking
854,Jpjez35yrcPwCu5NZwYNlw,BusinessParking
857,4FaYG9qKDpDyr68bKmaIEw,Smoking
857,4FaYG9qKDpDyr68bKmaIEw,RestaurantsGoodForGroups
857,4FaYG9qKDpDyr68bKmaIEw,BestNights
857,4FaYG9qKDpDyr68bKmaIEw,NoiseLevel
857,4FaYG9qKDpDyr68bKmaIEw,DogsAllowed
857,4FaYG9qKDpDyr68bKmaIEw,Music
857,4FaYG9qKDpDyr68bKmaIEw,WheelchairAccessible
857,4FaYG9qKDpDyr68bKmaIEw,RestaurantsAttire
857,4FaYG9qKDpDyr68bKmaIEw,BikeParking
857,4FaYG9qKDpDyr68bKmaIEw,RestaurantsDelivery
857,4FaYG9qKDpDyr68bKmaIEw,BusinessParking
857,4FaYG9qKDpDyr68bKmaIEw,HappyHour
857,4FaYG9qKDpDyr68bKmaIEw,RestaurantsTableService
857,4FaYG9qKDpDyr68bKmaIEw,RestaurantsTakeOut
857,4FaYG9qKDpDyr68bKmaIEw,GoodForDancing
857,4FaYG9qKDpDyr68bKmaIEw,Caters
857,4FaYG9qKDpDyr68bKmaIEw,CoatCheck
857,4FaYG9qKDpDyr68bKmaIEw,WiFi
857,4FaYG9qKDpDyr68bKmaIEw,GoodForKids
857,4FaYG9qKDpDyr68bKmaIEw,HasTV
857,4FaYG9qKDpDyr68bKmaIEw,BYOB
857,4FaYG9qKDpDyr68bKmaIEw,RestaurantsPriceRange2
857,4FaYG9qKDpDyr68bKmaIEw,BusinessAcceptsCreditCards
857,4FaYG9qKDpDyr68bKmaIEw,RestaurantsReservations
857,4FaYG9qKDpDyr68bKmaIEw,Ambience
857,4FaYG9qKDpDyr68bKmaIEw,Alcohol
857,4FaYG9qKDpDyr68bKmaIEw,Corkage
857,4FaYG9qKDpDyr68bKmaIEw,GoodForMeal
857,4FaYG9qKDpDyr68bKmaIEw,OutdoorSeating
876,B9oez-fvFRD76en7pEvhMA,BusinessAcceptsCreditCards
876,B9oez-fvFRD76en7pEvhMA,BikeParking
876,B9oez-fvFRD76en7pEvhMA,BusinessParking
876,B9oez-fvFRD76en7pEvhMA,RestaurantsPriceRange2
914,Htnv87XCc9GXuE6hKEHnNg,
931,97yrCvZXdnMhmCtM8qmKFw,RestaurantsPriceRange2
931,97yrCvZXdnMhmCtM8qmKFw,WiFi
931,97yrCvZXdnMhmCtM8qmKFw,BusinessAcceptsCreditCards
936,3CTuCLhazl6N8cIonyDkXw,GoodForKids
936,3CTuCLhazl6N8cIonyDkXw,BikeParking
936,3CTuCLhazl6N8cIonyDkXw,BusinessParking
942,vBEeR5ioxlvzKZN_pgnZYA,GoodForKids
946,-ujBP1Dw0j1-Ffaz97-LXQ,RestaurantsReservations
946,-ujBP1Dw0j1-Ffaz97-LXQ,WiFi
946,-ujBP1Dw0j1-Ffaz97-LXQ,BikeParking
946,-ujBP1Dw0j1-Ffaz97-LXQ,OutdoorSeating
946,-ujBP1Dw0j1-Ffaz97-LXQ,GoodForDancing
946,-ujBP1Dw0j1-Ffaz97-LXQ,HappyHour
946,-ujBP1Dw0j1-Ffaz97-LXQ,RestaurantsGoodForGroups
946,-ujBP1Dw0j1-Ffaz97-LXQ,Caters
946,-ujBP1Dw0j1-Ffaz97-LXQ,CoatCheck
946,-ujBP1Dw0j1-Ffaz97-LXQ,Alcohol
946,-ujBP1Dw0j1-Ffaz97-LXQ,RestaurantsTakeOut
946,-ujBP1Dw0j1-Ffaz97-LXQ,BusinessAcceptsCreditCards
946,-ujBP1Dw0j1-Ffaz97-LXQ,Ambience
946,-ujBP1Dw0j1-Ffaz97-LXQ,ByAppointmentOnly
946,-ujBP1Dw0j1-Ffaz97-LXQ,BestNights
946,-ujBP1Dw0j1-Ffaz97-LXQ,DogsAllowed
946,-ujBP1Dw0j1-Ffaz97-LXQ,WheelchairAccessible
946,-ujBP1Dw0j1-Ffaz97-LXQ,NoiseLevel
946,-ujBP1Dw0j1-Ffaz97-LXQ,RestaurantsDelivery
946,-ujBP1Dw0j1-Ffaz97-LXQ,RestaurantsPriceRange2
946,-ujBP1Dw0j1-Ffaz97-LXQ,HasTV
946,-ujBP1Dw0j1-Ffaz97-LXQ,Music
946,-ujBP1Dw0j1-Ffaz97-LXQ,Smoking
946,-ujBP1Dw0j1-Ffaz97-LXQ,BusinessParking
969,GhBM8Aqfeeel8rW4S88iAQ,WiFi
969,GhBM8Aqfeeel8rW4S88iAQ,BikeParking
969,GhBM8Aqfeeel8rW4S88iAQ,WheelchairAccessible
969,GhBM8Aqfeeel8rW4S88iAQ,ByAppointmentOnly
969,GhBM8Aqfeeel8rW4S88iAQ,RestaurantsPriceRange2
969,GhBM8Aqfeeel8rW4S88iAQ,BusinessAcceptsBitcoin
969,GhBM8Aqfeeel8rW4S88iAQ,BusinessParking
969,GhBM8Aqfeeel8rW4S88iAQ,NoiseLevel
969,GhBM8Aqfeeel8rW4S88iAQ,BusinessAcceptsCreditCards
981,g7GCbnZC_HKO0ybNt7NXBw,RestaurantsDelivery
981,g7GCbnZC_HKO0ybNt7NXBw,RestaurantsTakeOut
1028,HJhFyeLCGJTe4UCEniG5XQ,BusinessAcceptsCreditCards
1055,sQxg3JJTqcHs9UHWqtjZ-Q,BusinessAcceptsCreditCards
1055,sQxg3JJTqcHs9UHWqtjZ-Q,ByAppointmentOnly
1058,K5ffo0hkwhG33BDNQrJF6A,WiFi
1058,K5ffo0hkwhG33BDNQrJF6A,RestaurantsPriceRange2
1058,K5ffo0hkwhG33BDNQrJF6A,RestaurantsDelivery
1058,K5ffo0hkwhG33BDNQrJF6A,BusinessAcceptsCreditCards
1058,K5ffo0hkwhG33BDNQrJF6A,GoodForKids
1058,K5ffo0hkwhG33BDNQrJF6A,RestaurantsAttire
1058,K5ffo0hkwhG33BDNQrJF6A,RestaurantsReservations
1058,K5ffo0hkwhG33BDNQrJF6A,NoiseLevel
1058,K5ffo0hkwhG33BDNQrJF6A,BusinessParking
1058,K5ffo0hkwhG33BDNQrJF6A,Alcohol
1058,K5ffo0hkwhG33BDNQrJF6A,RestaurantsGoodForGroups
1058,K5ffo0hkwhG33BDNQrJF6A,OutdoorSeating
1058,K5ffo0hkwhG33BDNQrJF6A,RestaurantsTakeOut
1058,K5ffo0hkwhG33BDNQrJF6A,BikeParking
1058,K5ffo0hkwhG33BDNQrJF6A,GoodForMeal
1058,K5ffo0hkwhG33BDNQrJF6A,HasTV
1058,K5ffo0hkwhG33BDNQrJF6A,Caters
1058,K5ffo0hkwhG33BDNQrJF6A,HappyHour
1058,K5ffo0hkwhG33BDNQrJF6A,Ambience
1071,fN1xl3d8EdFRpyE1NVI2nw,
1077,DBZUh30aX1MEKMGbeKCRZg,BusinessAcceptsCreditCards
1086,eWRQJDYtXBSr_2dzs_t4Jw,BusinessAcceptsCreditCards
1086,eWRQJDYtXBSr_2dzs_t4Jw,ByAppointmentOnly
1102,0d-bfgB_ERklF7G9170R2g,
1121,_HcAoG6Jj_XTj4-XNEbo6Q,OutdoorSeating
1121,_HcAoG6Jj_XTj4-XNEbo6Q,BusinessAcceptsCreditCards
1121,_HcAoG6Jj_XTj4-XNEbo6Q,RestaurantsTakeOut
1121,_HcAoG6Jj_XTj4-XNEbo6Q,GoodForKids
1121,_HcAoG6Jj_XTj4-XNEbo6Q,RestaurantsGoodForGroups
1121,_HcAoG6Jj_XTj4-XNEbo6Q,DogsAllowed
1121,_HcAoG6Jj_XTj4-XNEbo6Q,BusinessParking
1121,_HcAoG6Jj_XTj4-XNEbo6Q,Alcohol
1121,_HcAoG6Jj_XTj4-XNEbo6Q,RestaurantsDelivery
1121,_HcAoG6Jj_XTj4-XNEbo6Q,HasTV
1121,_HcAoG6Jj_XTj4-XNEbo6Q,WiFi
1121,_HcAoG6Jj_XTj4-XNEbo6Q,Caters
1121,_HcAoG6Jj_XTj4-XNEbo6Q,DriveThru
1121,_HcAoG6Jj_XTj4-XNEbo6Q,RestaurantsTableService
1121,_HcAoG6Jj_XTj4-XNEbo6Q,BikeParking
1121,_HcAoG6Jj_XTj4-XNEbo6Q,NoiseLevel
1121,_HcAoG6Jj_XTj4-XNEbo6Q,WheelchairAccessible
1121,_HcAoG6Jj_XTj4-XNEbo6Q,RestaurantsPriceRange2
1121,_HcAoG6Jj_XTj4-XNEbo6Q,RestaurantsReservations
1121,_HcAoG6Jj_XTj4-XNEbo6Q,RestaurantsAttire
1121,_HcAoG6Jj_XTj4-XNEbo6Q,Ambience
1121,_HcAoG6Jj_XTj4-XNEbo6Q,GoodForMeal
1121,_HcAoG6Jj_XTj4-XNEbo6Q,HappyHour
1130,Mp9SeTCbDFpynBhttlgwKA,
1137,cP5gGbkCLEjAXIQZfh4t9g,RestaurantsPriceRange2
1137,cP5gGbkCLEjAXIQZfh4t9g,BusinessParking
1137,cP5gGbkCLEjAXIQZfh4t9g,BusinessAcceptsCreditCards
1137,cP5gGbkCLEjAXIQZfh4t9g,WheelchairAccessible
1165,lj-E32x9_FA7GmUrBGBEWg,BusinessAcceptsCreditCards
1165,lj-E32x9_FA7GmUrBGBEWg,RestaurantsTakeOut
1165,lj-E32x9_FA7GmUrBGBEWg,RestaurantsGoodForGroups
1165,lj-E32x9_FA7GmUrBGBEWg,Caters
1165,lj-E32x9_FA7GmUrBGBEWg,HasTV
1165,lj-E32x9_FA7GmUrBGBEWg,OutdoorSeating
1165,lj-E32x9_FA7GmUrBGBEWg,RestaurantsDelivery
